ID;COMUNAS;BARRIOS;;
1;200.000.000.000;RECOLETA;;
3;600.000.000.000;CABALLITO;;
6;1.000.000.000.000;FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL;;
7;1.100.000.000.000;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;;
8;1.200.000.000.000;COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA;;
9;1.400.000.000.000;PALERMO;;
11;1.500.000.000.000;AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR;;
15;1.300.000.000.000;BELGRANO - COLEGIALES - NUÑEZ;;
13;400.000.000.000;BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS;;
2;500.000.000.000;ALMAGRO - BOEDO;;
4;700.000.000.000;FLORES - PARQUE CHACABUCO;;
10;300.000.000.000;BALVANERA - SAN CRISTOBAL;;
5;900.000.000.000;LINIERS - MATADEROS - PARQUE AVELLANEDA;;
14;100.000.000.000;CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO;;
12;800.000.000.000;VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI;;
